iter	Passed	Remaining
0	50	956
1	102	922
2	210	1191
3	294	1176
4	385	1155
5	497	1160
6	595	1106
7	666	999
8	734	897
9	795	795
10	853	698
11	911	607
12	966	520
13	1020	437
14	1086	362
15	1142	285
16	1197	211
17	1248	138
18	1308	68
19	1364	0
