iter	Passed	Remaining
0	48	912
1	95	862
2	147	837
3	196	787
4	255	766
5	317	740
6	377	701
7	438	657
8	505	617
9	576	576
10	639	523
11	691	461
12	743	400
13	796	341
14	851	283
15	906	226
16	960	169
17	1013	112
18	1066	56
19	1121	0
