iter	Logloss
0	0.6233654998
1	0.5710244624
2	0.5204505575
3	0.4742583722
4	0.4237773369
5	0.3871018663
6	0.3566081569
7	0.3224319711
8	0.2943742347
9	0.2727897237
10	0.2497317304
11	0.2287192489
12	0.2157917708
13	0.194344447
14	0.180790161
15	0.1660193506
16	0.1559595461
17	0.1476154227
18	0.141650802
19	0.1341821649
