iter	Passed	Remaining
0	58	1102
1	115	1038
2	174	990
3	238	954
4	294	883
5	354	827
6	417	775
7	480	720
8	574	702
9	635	635
10	689	564
11	740	493
12	801	431
13	853	365
14	906	302
15	943	235
16	993	175
17	1043	115
18	1094	57
19	1152	0
