iter	Passed	Remaining
0	32	608
1	81	737
2	135	765
3	187	749
4	233	699
5	281	656
6	339	630
7	389	584
8	425	520
9	483	483
10	547	448
11	586	390
12	639	344
13	675	289
14	729	243
15	784	196
16	847	149
17	920	102
18	985	51
19	1049	0
