iter	Logloss
0	0.606973503
1	0.5534038167
2	0.509446411
3	0.4666568173
4	0.4162453988
5	0.3759116523
6	0.3461164413
7	0.3236125149
8	0.2903294228
9	0.2683510486
10	0.2510339328
11	0.2324105851
12	0.2165240006
13	0.1982897351
14	0.1795699352
15	0.1706907029
16	0.1617521089
17	0.1522231159
18	0.1452131704
19	0.137459618
