iter	Logloss
0	0.626283278
1	0.5643455639
2	0.5131472548
3	0.4646763226
4	0.4220428136
5	0.3856890128
6	0.3475194506
7	0.3197452878
8	0.2946913567
9	0.2765357086
10	0.2559701046
11	0.2382893946
12	0.2241980602
13	0.2116496801
14	0.1993540402
15	0.1886555946
16	0.1793390739
17	0.1639396165
18	0.1553932442
19	0.1475740285
