iter	Passed	Remaining
0	51	975
1	89	809
2	146	830
3	200	802
4	284	852
5	341	796
6	391	727
7	440	661
8	496	606
9	582	582
10	674	551
11	729	486
12	787	423
13	847	363
14	909	303
15	973	243
16	1036	182
17	1085	120
18	1145	60
19	1205	0
